"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/03/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","9","38.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/04/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","4","17.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/06/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","11","46.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/07/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","4","17.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/10/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","7","29.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/11/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","16","67.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/12/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","16","67.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/13/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","22","92.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/14/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/15/2021","AQS","510870014","1","0.5","ppm","6","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/16/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/17/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/18/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/19/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/20/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/21/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/22/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/23/2021","AQS","510870014","1","0.5","ppm","6","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/24/2021","AQS","510870014","1","0.4","ppm","5","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/25/2021","AQS","510870014","1","0.2","ppm","2","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/26/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
"05/27/2021","AQS","510870014","1","0.3","ppm","3","MathScience Innovation Center","24","100.0000","42101","Carbon monoxide","40060","Richmond, VA","51","Virginia","087","Henrico","37.556520000912","-77.40027"
